Unnamed: 0,번호,제목,저자,출판사,출판일,학위논문사항
,40,"An Anthology of Missingness: Simulated Missing Data, Multivariate Tilt, and Environmental Exposures in Late Adulthood","Dworak, Elizabeth M",Northwestern University,2022,해외박사(DDOD)
,41,(A) Reliable Data Management Framework based on Access Patterns for Flash Storage Systems,Sanam Shahla Rizvi,아주대학교 정보통신전문대학원,2010,국내박사
,42,Proposal blockchain based data protection framework for cybersecurity in Ecuador,Eddy R Espinosa Daquilema,한동대학교 국제개발협력대학원,2024,국내석사
,43,Reliable routing protocol for real-time data dissemination in internet of things,오승민,忠南大學校 大學院,2015,국내박사
,44,Text Segmentation in Document and Scene Image by Paired Data Synthesis = 쌍을 이루는 데이터 합성에 의한 문서 및 장면 이미지의 텍스트 분할,당꽝빈,전남대학교,2022,국내박사
,45,(A) study on the structural equation modeling for non-normal data,동상옥,Dong-Eui Univ.,2012,국내박사
,46,Data-Driven Systems Engineering for Bioinspired Integrative Design,"Nicoloso, Luca Gabriele De Vivo","University of California, San Diego",2021,해외박사(DDOD)
,47,Efficient data organization and load balancing on parallel disks,"Kuo, Szu-Wen",University of Illinois at Urbana-Champaign,1999,해외박사(DDOD)
,48,Finite element model generation using 3 Dimensional Scan Data : 3 Dimensional Scan Data를 移用한 유한요소모델 生成,이수용,인제대학교 대학원,2006,국내석사
,49,Studies on Hotspot Detection for Multivariate Spatial Data Using Echelons,홍한표,Okayama University,2005,해외박사
,50,WRF dynamically downscaling PCM data for climate change impacts in California & application of a signal technique to the source-receptor relationship in WRF,"Zhao, Zhan","University of California, Davis",2009,해외박사(DDOD)
,51,Validation of CSHORE model using field data on wave-dominated beach and macro-tidal beach,도기덕,서울대학교 대학원,2014,국내박사
,52,Optimization of the features and training data for improving performance of motor imagery EEG-based BCI = 동작 상상 뇌파-기반 BCI의 성능 향상을 위한 특징과 훈련 데이터 최적화,이다빛,Catholic University of Korea,2018,국내박사
,53,Complementing Individual Variability within Neural Data with Dual Model Transfer Learning at the Brain-Computer Interface = 뇌-컴퓨터 인터페이스에서 듀얼 모델 전이 학습을 통한 신경 데이터의 개별 다양성 보완 방법,김준수,서울대학교 대학원,2024,국내석사
,54,Two-step ODETLAP and induced terrain for improved geographical data reconstruction,"Lau, Tsz-Yam",Rensselaer Polytechnic Institute,2012,해외박사(DDOD)
,55,Does Herzberg’s Two- Factors Mediate the Link between Big-Five Traits and Digital Skill Learning Motivation?: Evidence of Vietnam’s Ministry of Justice = Herzberg의 2요인이 5가지 성격특성과 디지털 기술 학습 동기와의 관계를 매개하는가?: 베트남 법무부를 중심으로,Nguyen Hai Ha,연세대학교 일반대학원,2024,국내석사
,56,FAULT DIAGNOSIS OF ROTATING MACHINES BASED ON ADVANCED SIGNAL PROCESSING METHODS AND DATA-DRIVEN ARTIFICIAL INTELLIGENCE TECHNIQUES,프로스비린 알렉산데르,The Graduate School of the University of Ulsan,2021,국내박사
,57,Study on Topographic Changes in Tidal Flats of the West Coast of South Korea between 1980s and 2010s Using Remote Sensing Data,허진,서울대학교 대학원,2016,국내박사
,58,(A) big five personality approach to networking behavior : evidence from Seoul Metropolitan government officials,이규민,"Graduate School, Yonsei University",2020,국내석사
,59,Systemic risk measures based on open financial data,송재욱,서울대학교 대학원,2016,국내박사
,60,Map Data Integration Technique with Large-Scale Fleet Telematics Data as Road Safety Surrogate Measures in the New York Metropolitan Area,"Alrassy, Patrick",Columbia University,2020,해외박사(DDOD)
,61,Design Tools and Data-DrivenMethods to Facilitate Player Authoring in a Programming Puzzle Game,"Hicks, Andrew Gregory",North Carolina State University,2017,해외박사(DDOD)
,62,Development of Micro-Computed Tomography Data Based Simulation Technique For Deformation and Strain Measurement of Densely Packed Electronics,"Kothari, Nakul",Auburn University,2020,해외박사(DDOD)
,63,Probing cosmic near infrared background using AKARI data,서현종,서울대학교 대학원,2013,국내박사
,64,Relation of Regional difference in Mental health state in Seoul using multilevel data analysis : 다수준 분석을 이용한 서울시 정신건강 상태의 소지역간 차이 및 지역특성과의 연관성,김슬기,서울대학교 대학원,2015,국내석사
,65,Wind resource on the actual capacity factors using AWS data in Korea,유승보,"Graduate School, Yonsei University",2017,국내박사
,66,Robot Learning from Interactions with Physics-Realistic Environment: Constructing Big Task Platform for Training AI Agents,"Xie, Xu","University of California, Los Angeles",2021,해외박사(DDOD)
,67,An exploratory analysis of the relationship between higher education and television: A focus on big-time college sports,"Anctil, Eric J",The University of Wisconsin - Madison,2003,해외박사(DDOD)
,68,Big Graph Analytics on Just a Single PC,"Wang, Kai","University of California, Los Angeles",2019,해외박사(DDOD)
,69,Big Bayesian Phylogenetic Comparative Methods,"Hassler, Gabriel","University of California, Los Angeles",2022,해외박사(DDOD)
,70,San Diego's big boom:  District bureaucracy meets culture of learning (California),"Hightower, Amy Margaret",Stanford University,2001,해외박사(DDOD)
,71,Image parsing by data-driven Markov chain Monte Carlo,"Tu, Zhuowen",The Ohio State University,2002,해외박사(DDOD)
,72,The relationship between household debt and the big five personality,이태현,서강대학교 대학원,2019,국내석사
,73,The influence of rearing order on personality:  Data from biological adoptive siblings,"Beer, Jeremy Michael",The University of Texas at Austin,2000,해외박사(DDOD)
,74,Structure Determination from Powder Diffraction Data for Rechargeable Battery Materials,임성철,DGIST,2017,국내박사
,75,Deep Trajectory Prediction for Robotic Manipulation Under Unreliable Sensor Data,Alisher Abdulov,Graduate School of UNIST,2020,국내석사
,76,"Integrating ecology and socioeconomics for species restoration:  Feasibility of a Louisiana black bear reintroduction in and around Big Thicket National Preserve, Texas","Morzillo, Anita T",Michigan State University,2005,해외박사(DDOD)
,77,The Effect of Ideological Indifferences on Voting Intention Changes : Empirical Evidence from the ANES Time Series Cumulative data,KAPANADZE MIRZA,아주대학교,2015,국내석사
,78,Dithiol Glutaredoxin Systems and Their Functional Significance in Teleost Immune Responses; Deciphering Roles of Glutaredoxin 1 and 2 in Redox Homeostasis of Big Belly Seahorse (Hippocampus abdominalis),Welivitiye Kankanamge Malithi Omeka,제주대학교,2019,국내석사
,79,An examination of the quality rankings of three unfamiliar wind band compositions and selected musical criteria among undergraduate instrumental music education students and instructors at five Big Ten universities,"Heidel, Richard Mark",University of Illinois at Urbana-Champaign,1999,해외박사(DDOD)
,80,Novel Abstractions for Data Center Network Management,"Gember-Jacobson, Aaron",The University of Wisconsin - Madison,2016,해외박사(DDOD)
,81,(The) Joint Effect of Audit Firm Tenure and Big 4 Auditor on the Intensity of Real Earnings Management,김윤도,서울대학교 대학원,2019,국내석사
,82,Advanced methods for managing transient and persistent data,"Qiao, Lin","University of California, Santa Barbara",2005,해외박사(DDOD)
,83,"System Development for Space Weather Data, Solar Adaptive Optics, and Geo-effective CME Forecast",최성환,경희대학교 대학원,2017,국내박사
,84,Dynamic scheduling for delay sensitive IoT data delivery,"Nguyen, Tien Dung",Sungkyunkwan university,2020,국내박사
,85,"Balance of Social and Entrepreneurial Objectives : A Case Study of ""The Big Issue Korea""",Inna KARMOLIT,한국학중앙연구원 한국학대학원,2015,국내석사
,86,High Fidelity Reversible Data Hiding,Xiaochao Qu,고려대학교 정보경영공학전문대학원,2015,국내박사
,87,Generating synthetic data with Inferential Wasserstein Generative Adversarial Network = Inferential Wasserstein Generative Adversarial Network를 이용한 합성 데이터 생성,김승종,서울대학교 대학원,2023,국내석사
,88,3차원 인체 스캔 데이터를 활용한 베트남 30대 여성 체형 분석 및 토르소 패턴 설계 : Somatotype Analysis and Torso Pattern Development for Vietnamese Women in 30s Using 3D Body Scan Data,트란티민카우,영남대학교 대학원,2012,국내박사
,89,"Conservation genetics of major endangered large carnivores in South Korea: Phylogenic studies of Asiatic black bear and leopard, and development of unified microsatellite markers for big cats = 한국 멸종위기 대형 식육목의 보전유전학: 반달가슴곰과 표범의 계통분류 및 표범 속 동물의 통합 초위성체 마커 개발",현지연,서울대학교 대학원,2022,국내박사
,90,Estimating Revenues of Integrated Fare System for Seoul Metropolitan Public Transportation using Smartcard Data = 수도권 통합대중교통체계 교통카드 자료 기반 수입금 산정 방안,신호석,서울대학교 대학원,2022,국내박사
,91,LLMs can Process Complex Theoretical Constructs: Explorations of Procedural Fairness and Distributive Fairness in Data Science,Bye Paul Curtis,제주대학교 대학원,2024,국내석사
,92,데이터스트림 환경에서의 다중질의 최적화를 위한 시공간 질의 클러스터링 트리 : A Spatio-temporal Query Clustering Tree for Multiple Query Optimization in Data Stream Environment,심상예,인하대학교 대학원,2010,국내석사
,93,Effect of big five personality traits and mindfulness on the preference to e-selection,"Djalilova, Barno",Ajou University,2019,국내석사
,94,Essays on Big Life Decisions,"Mueller, Maximilian W","University of California, Berkeley",2022,해외박사(DDOD)
,95,네트워크 분석을 통한 글로벌 데이터로부터의 생물학적 기능 추론을 위한 시스템적 접근 = Systems approaches for inferring biological functions from global data through network analysis,현도영,포항공과대학교 일반대학원,2018,국내박사
,96,시계열 모델링에 기반한 라이프로그 데이터 관리 = Lifelog Data Management Based on Time Series Modeling,김양,인하대학교 대학원,2014,국내석사
,97,Measuring the performance of Nigerian National Petroleum Corporation using data envelopment analysis,"Basil, Ike Chidi",서울대학교 대학원,2013,국내석사
,98,High-performance graph data processing on a single machine,조용연,한양대학교 대학원,2018,국내박사
,99,Digital Signal Processing Methods and Data Acquisition System for a MRI Compatible Brain PET Using GAPD Arrays,"Hu, Wei",성균관대학교 일반대학원,2012,국내박사
,100,Estimation performance comparison of regularized sliced inverse regression between bivariate and univariate slicing after reweight transformation in survival data,서비슬,이화여자대학교 대학원,2016,국내석사
,1,SplitAvg Mitigating Spurious Correlations using Data Splitting and Parameter Averaging = SplitAvg: 데이터 분할과 파라미터 평균화를 통한 거짓 상관관계 제거,유상윤,서울대학교 대학원,2024,국내석사
,2,Accelerated Computation of Digital Holograms of 3-D Objects Using Sub-principal Fringe Patterns Based on Inter-line Data Redundancy,박기혁,광운대학교,2014,국내석사
,3,"Lower and Higher Order Facets and Factors of the Interpersonal Traits among the Big Five: Specifying, Measuring, and Understanding Extraversion and  Agreeableness","Davies, Stacy Eitel",University of Minnesota,2012,해외박사(DDOD)
,4,Value Creation in Big Tech Acquisitions : An Empirical Analysis = 빅테크 인수합병의 수익률에 대한 실증 분석,최지원,서울대학교 대학원,2022,국내석사
,5,Big Horses Don't Die : the chaebol dominance in the course of Korean industrialization,임은미,University of Washington,2002,해외박사
,6,Data-driven quality of service improvements in hospitals,"Yu, Dongqing",The University of North Carolina at Chapel Hill,2016,해외박사(DDOD)
,7,"Big science, nano science?:  Mapping the evolution and socio-cognitive structure of nanoscience/nanotechnology using mixed methods","Milojevic, Stasa","University of California, Los Angeles",2009,해외박사(DDOD)
,8,Big Aspirations: Constructing a Collaborative Evaluation Culture to Support the Impact Goals of an Intermediary Organization,"Taha, Kofi A",Harvard University,2022,해외박사(DDOD)
,9,"Too big, too small, just right: The impact of school district size on a principal's ability to exercise leadership---A study of the extremes","Macaluso, Christopher G",Arizona State University,2007,해외박사(DDOD)
,10,Building Bigness: Religious Practice and Social Support in Rural South India,"Power, Eleanor A",Stanford University,2015,해외박사(DDOD)
,11,"From the Big Bang to tumbleweeds:  Analysis of signals from relic gravitons, neutron stars, and terrestrial gravitational noise in gravitational wave detectors","Creighton, Teviet David",California Institute of Technology,2000,해외박사(DDOD)
,12,Query-driven Exploration of Big Graphs,"Namaki, MohammadHossein",Washington State University,2019,해외박사(DDOD)
,13,"Essays on data driven insights from crowd sourcing, social media and social networks","Velichety, Srikar",The University of Arizona,2016,해외박사(DDOD)
,14,An Analysis of the Efficiency of Korean railway freight station with Data Envelopment Analysis-Assurance Region(DEA-AR),안치원,인하대학교 물류전문대학원,2008,국내석사
,15,Representation Learning on Brain Data,"Lin, Sikun","University of California, Santa Barbara",2022,해외박사(DDOD)
,16,Persistence of institutions : state activism and big business in South Korea,장지호,Graduate School University of Missouri-Columbia,2002,해외박사
,17,"Capitalist development, the state and big business in Korea : a sociological study of the Korean chaebol",김윤태,London School of Economics and Political Science,1998,해외박사
,18,"(A) time-series, cross-country panel data analysis – economic factors influencing fertility rate of oecd countries, an implication of South Korea (1970-2017)","Komutmanee, Suwijak","Graduate School of International Studies, Korea University",2020,국내석사
,19,Multidimensional analysis of moving object data,"Li, Xiaolei",University of Illinois at Urbana-Champaign,2008,해외박사(DDOD)
,20,Managing Shared Resources in the Data Center Era,"Zahedi, Seyed Majid",Duke University,2018,해외박사(DDOD)
,21,Connecting the Dots for People with Autism: A Data-Driven Approach to Designing and Evaluating a Global Filter,"Sean, Viseth",Chapman University,2020,해외박사(DDOD)
,22,Analysis on location choice for foreign branches in Chinese big four banks,Wang Siqi,Hankuk University of Foreign Studies. Graduate School,2018,국내석사
,23,"The Main, Mediated, and Moderated Effects of the Big Five Personality Factors on Offending","Loftus, Zachary V",The Florida State University,2019,해외박사(DDOD)
,24,(The) causes of shrinking middle class in South Korea : with evidences from statistical data,박선홍,"Graduate School of International Studies, Korea University",2017,국내석사
,25,Labor cost and foreign direct investment in China: : empirical evidence from Chinese regional data,"Liu, Ya","Graduate School of International Studies, Korea University",2017,국내석사
,26,"성격 5요인이 자기효능감, 직무스트레스 및 조직효율성에 미치는 영향에 관한 연구 : 대학 교직원을 사례로 = Research on the Influence of Big Five Personality on Self-efficacy, Occupational Stress, and Organizational Effectiveness",조개,목원대학교 대학원,2021,국내석사
,27,"Research on Market Expanding and Audience Development of Original Musicals in China : Taking Big and Small Musicals King’s Table and Mama, Love Me Again as an Example",YANG HONGYU,가천대학교 글로벌캠퍼스 일반대학원,2024,국내박사
,28,Does Corporate Digital Transformation Affect the Comparability of Accounting Information? : Concentrating on the Big 4 Accounting Firms,MA HAN,경희대학교 대학원,2024,국내석사
,29,Study on the relation between housing price and credit supply : empirical evidence from Chinese big cities,"ZHU, MENGYING",이화여자대학교 대학원,2015,국내석사
,30,새로운 딥 러닝 기반 소프트웨어를 이용한 슬관절의 방사선학적 관절 간격의 정량화 연구 = Automated Quantification of Radiologic Joint Space Width of the Knee Using a Novel Deep Learning-based Software: Data from the Osteoarthritis Initiative (OAI),연창진,계명대학교 대학원,2023,국내박사
,31,The big picture:  A time-series analysis of communications impact on national development,"Hill, Jonathan Yates",The University of North Carolina at Chapel Hill,2000,해외박사(DDOD)
,32,Catching the Big Wave: Public Opinion Polls and Bandwagons in US and Canadian Elections,"Daigle, Delton T",The Ohio State University,2010,해외박사(DDOD)
,33,Small towns and big stores: Local controversies over the siting of superstores,"Halebsky, Stephen Eugene",The University of Wisconsin - Madison,2001,해외박사(DDOD)
,34,"""Daddy's girl"" and ""Big Man On Campus"": Turning points in the development of parent-adolescent relationships","Ramey, Mary Ellen",University of Illinois at Urbana-Champaign,2010,해외박사(DDOD)
,35,Beyond Bambi and Big Bucks: Exploring the Social Complexity of Deer Management in Indiana   [electronic resource],"Stinchcomb, Taylor R",Purdue University,2022,해외박사(DDOD)
,36,"Gods, Goods and Big Game: The Archaeology of Labrador Inuit Choices in an Eighteenth- and Nineteenth-Century Mission Context","Arendt, Beatrix Joy Yvonne Michelle",University of Virginia,2011,해외박사(DDOD)
,37,"Greed, vested interests, and the big stick:  Studying education policymaking in New York through charter schools","Hendrickson, Robert Allen",Fordham University,2005,해외박사(DDOD)
,38,"Who's afraid of the big, bad firm?  The civic and political implications of economic scale","Humphries, Stanley Bradford",University of Virginia,2000,해외박사(DDOD)
,39,Korean FTAs with developing countries : preferences and trade flow perspectives using panel data for 2002-2014,Mauro Sebastian Baquero Segovia,Kyung Hee University,2018,국내석사
,40,"Relationship among Basic Psychological Needs, Achievement Goals, Intrinsic Motivation, and Academic Performance of College Students Majoring in Tennis : Big Five Personality as Control Variables",인항,호서대학교 일반대학원,2023,국내박사
,41,수술후 보조요법으로 타목시펜을 투여받은 유방암 환자에서 CYP2D6 유전형과 타목시펜의 임상적 효과 간의 관련성 평가: 기존 임상시험 결과들의 메타 분석 : Evaluation of Association between CYP2D6 Genotypes and Clinical Outcomes of Adjuvant Tamoxifen Treatment in Patients with Breast Cancer: an approach based on aggregate data from published clinical trials,정진아,울산대학교 대학원,2013,국내박사
,42,시공간 수리모델링과 생활인구 빅데이터를 활용한 재난관리자원 자동심장충격기의 배치 최적화,황성은,명지대학교 대학원,2023,국내박사
,43,Take Me to SSD: A Hybrid Block-Selection Method on HDFS Based on Storage Type : 저장장치 타입 정보를 활용한 HDFS내의 하이브리드 데이터블록 선택기법,"Kim, Minkyung",연세대학교 일반대학원,2016,국내석사
,44,제조 환경을 지원하는 데이터 기반 웹가시화 시스템,DOUNG CHANKHIHORT,충북대학교,2018,국내석사
,45,모바일 환경에서 상황인식 데이터를 이용한 시맨틱 정보검색,구미숙,충북대학교,2014,국내박사
,46,A deep learning framework for anomaly detection in multivariate time series = 다변량 시계열 데이터에 대한 딥러닝 기반의 이상치 탐지,Minjoo Ku,Ulsan National Institute of Science and Technology,2023,국내석사
,47,GraDuck: A Multi-Model Database System with Native Graph Processing = GraDuck: 네이티브 그래프 처리를 이용한 다모델 데이터베이스 시스템,최유진,서울대학교 대학원,2024,국내석사
,48,작물 육종을 위한 표현체 데이터 딥러닝 분석 = Deep Learning-based Phenotypic Analyses  for Crop Breeding,정민아,과학기술연합대학원대학교,2022,국내박사
,49,제한된 훈련 데이터셋에서 이미지 변환 및 2단계 전이학습을 사용한 향상된 식물 병증 인식 = Enhanced Plant Disease Recognition with Limited Training Dataset Using Image Translation and Two-Step Transfer Learning,허명락,전북대학교 일반대학원,2023,국내박사
,50,인메모리 관계형 데이터베이스에서 혼합 워크로드 처리를 위한 동적 워크로드 인식 페이지 저장 모델,박경현,충북대학교,2018,국내박사
,51,보건의료 빅데이터 플랫폼에서 웹 기반 OLAP 시스템 구현,"Ly, Pichponreay",충북대학교,2017,국내석사
,52,트리거리와 t-SNE알고리즘을 이용한 빅데이터 활용 및 이점,이수영,국방대학교 국방관리대학원,2016,국내석사
,53,국민건강보험공단 데이터베이스를 활용한 출생 체중별 소아암 위험도 분석 연구 = Risk of Childhood Cancer According to Birth Weight Using Database of the National Health Insurance Service in Korea,정의석,서울대학교 대학원,2022,국내박사
,54,Analysis of Sedation and General Anesthesia in Patients with Special Needs in Dentistry using the Korean Healthcare Bigdata = 보건의료 빅데이터를 이용한 대한민국에서의 장애인 치과 진정법과 전신마취의 실태 조사,김지은,서울대학교 대학원,2022,국내석사
,55,Multivariate Online Sequential Extreme Studentized Deviate Method for Anomaly Detection in Multivariate Time Series Datasets = Multivariate Online Sequential Extreme Studentized Deviate 기법을 활용한 다변량 시계열 데이터셋에서의 이상치 탐지,김성우,한양대학교 대학원,2024,국내석사
,56,관계형 데이터베이스로부터 온톨로지 생성을 위한 변환 규칙에 관한 연구 = A Study on Converting Rules for Generating Ontology from RDB,Xu Ni,전북대학교,2007,국내석사
,57,A Study on the Efficient Market Hypothesis to Predict Exchange Rate Trends Using Sentiment Analysis of Twitter = 트위터 데이터의 정서분석을 이용하여 환율 변동 추새를 예측할 수 있는 효율적인 시장 가설에 관한 연구,Kokoy Siti KOMARIAH,부경대학교 대학원,2016,국내석사
,58,3차원 스캔 데이터를 이용한 유한요소모델생성,이수용,인제대학교 대학원,2006,국내석사
,59,CMFS: 계층적 스토리지에서 하이브리드 파일 시스템의 메타데이터 압축 기술 = CMFS: compressing metadata for hybrid file system for hierarchical storage,전태종,한양대학교 대학원,2011,국내석사
,60,Ranking Algorithms on Directed Configuration Networks,"Chen, Ningyuan",Columbia University,2015,해외박사(DDOD)
,61,High-Dimensional Inference in Dynamic Environments,"Hall, Eric C",Duke University,2015,해외박사(DDOD)
,62,Exploring the power of heterogeneous information sources,"Gao, Jing",University of Illinois at Urbana-Champaign,2011,해외박사(DDOD)
,63,Algorithms for Large-Scale Astronomical Problems,"Fu, Bin",Carnegie Mellon University,2013,해외박사(DDOD)
,64,Scalable and practical probability density estimators for scientific anomaly detection,"Pelleg, Dan",Carnegie Mellon University,2004,해외박사(DDOD)
,65,Inference on Large-scale Structures,"Ke, Zheng",Princeton University,2014,해외박사(DDOD)
,66,On differentially private mechanisms for count-range queries and their applications,"Zeng, Chen",The University of Wisconsin - Madison,2013,해외박사(DDOD)
,67,Multiple Bias Modeling in a Multi-Center Epidemiologic Study of Endometrial Cancer,"Thompson, Caroline Avery","University of California, Los Angeles",2013,해외박사(DDOD)
,68,Large-scale sparse regression models under weak assumptions,"Raskutti, Garvesh","University of California, Berkeley",2012,해외박사(DDOD)
,69,Handheld and robotic phenotyper designs,"Wei, Yong",Kansas State University,2017,해외박사(DDOD)
,70,Bayesian Nonparametric methods in marketing,"Satyavolu, Saisandeep Reddy",Cornell University,2016,해외박사(DDOD)
,71,"Hybrid Human-Machine Vision Systems: Image Annotation using Crowds, Experts and Machines","Welinder, Peter",California Institute of Technology,2012,해외박사(DDOD)
,72,Efficient Fault-Tolerant Infrastructure for Cloud Computing,"Su, Xueyuan",Yale University,2013,해외박사(DDOD)
,73,Parallel and Distributed Systems for Probabilistic Reasoning,"Gonzalez, Joseph",Carnegie Mellon University,2012,해외박사(DDOD)
,74,Incentivizing Effiiency in Societal-Scale Cyber-Physical Systems,"Ratliff, Lillian Jane","University of California, Berkeley",2015,해외박사(DDOD)
,75,Development and Application of an Integrated Parallel Platform on Short-read Sequences Assembly,"He, Fei",State University of New York at Stony Brook,2016,해외박사(DDOD)
,76,Distributed Tracking and Re-Identification in a Camera Network,"Sunderrajan, Santhoshkumar","University of California, Santa Barbara",2014,해외박사(DDOD)
,77,The Mining and Application of Diverse Cultural Perspectives in User-Generated Content,"Hecht, Brent Jason",Northwestern University,2013,해외박사(DDOD)
,78,Situation Recognition from Multi-Resolution Event Streams,"Pongpaichet, Siripen","University of California, Irvine",2016,해외박사(DDOD)
,79,Improving MapReduce performance in large-scale clusters,"Ahmad, Faraz",Purdue University,2013,해외박사(DDOD)
,80,Heterogeneous Learning and Its Applications,"Shi, Xiaoxiao",University of Illinois at Chicago,2013,해외박사(DDOD)
,81,Algorithms for constraint-based learning of Bayesian network structures with large numbers of variables,"de Jongh, Martijn",University of Pittsburgh,2014,해외박사(DDOD)
,82,Performance modeling and resource management for MapReduce applications,"Zhang, Zhuoyao",University of Pennsylvania,2014,해외박사(DDOD)
,83,Signal processing system design for two-dimensional magnetic recording disk drives,"Zheng, Ning",Rensselaer Polytechnic Institute,2015,해외박사(DDOD)
,84,Improving Design Efficiency for Large-Scale Heterogeneous Circuits,"Gregerson, Anthony",The University of Wisconsin - Madison,2015,해외박사(DDOD)
,85,Employing quantitative and qualitative analytic methods for internet biosurveillance of pandemic influenza,"Iarocci, Emily A",Georgetown University,2013,해외박사(DDOD)
,86,Doping graphene with manganese-based single molecule magnets: Electronic properties,"Saeidi Varnoosfaderani, Sima",University of Florida,2015,해외박사(DDOD)
,87,Practical Algorithms for Sparse Graphs,"Pszona, Pawel Karol","University of California, Irvine",2014,해외박사(DDOD)
,88,Essays in the Value of Intermediaries in the Real Estate Market,"Shui, Xi","University of California, Berkeley",2016,해외박사(DDOD)
,89,Scaling Software Security Analysis to Millions of Malicious Programs and Billions of Lines of Code,"Jang, Jiyong",Carnegie Mellon University,2013,해외박사(DDOD)
,90,A Robust Control Perspective on Optimization of Strongly-Convex Functions,"Hu, Bin",University of Minnesota,2016,해외박사(DDOD)
,91,Un/Accountable Enlightenment,"Seiler, Rachel A",Indiana University,2017,해외박사(DDOD)
,92,"Systems and Algorithms for High-Performance, Cost-Efficient Key-Value Storage","Li, Xiaozhou",Princeton University,2016,해외박사(DDOD)
,93,Evaluating past and present plant distributions using biodiversity informatics,"Harris, AJ",Oklahoma State University,2015,해외박사(DDOD)
,94,Mining Disparate Sources for Question Answering,"Sun, Huan","University of California, Santa Barbara",2016,해외박사(DDOD)
,95,Essays on Product Strategies through Consideration of Individual Distributions,"Perry, Hagit","University of California, Berkeley",2016,해외박사(DDOD)
,96,Secure Computation Towards Practical Applications,"Krell Loy, Fernando",Columbia University,2016,해외박사(DDOD)
,97,Essays in Corporate and Consumer Finance,"Iverson, Benjamin Charles",Harvard University,2013,해외박사(DDOD)
,98,The analog linear interpolation approach for Monte Carlo simulation of prompt gamma-ray neutron activation analysis,"Zhang, Wenchao",North Carolina State University,2003,해외박사(DDOD)
,99,Connecting Users with Similar Interests for Group Understanding,"Wang, Xufei",Arizona State University,2013,해외박사(DDOD)
,100,An analysis of the production efficiency of Division I-A intercollegiate athletic programs,"Raycraft, Michael Donald",University of Illinois at Urbana-Champaign,2001,해외박사(DDOD)
,1,Distributed stochastic optimization for deep learning,"Zhang, Sixin",New York University,2016,해외박사(DDOD)
,2,Palynological investigations related to archaeological sites and the expansion of wild rice (Zizania aquatica L.) in northeast Minnesota,"Huber, James Kenneth",University of Minnesota,2001,해외박사(DDOD)
,3,The Ertebolle Faunal Economy and the Transition to Agriculture in Southern Scandinavia,"Gron, Kurt",The University of Wisconsin - Madison,2013,해외박사(DDOD)
,4,Essays on compensation structures and human capital migration,"Pema, Elda",Michigan State University,2003,해외박사(DDOD)
,5,Water Stress And Water Use Of Almonds In California: Linking Plant Water Status And Canopy Transpiration,"Spinelli, Gerardo","University of California, Davis",2015,해외박사(DDOD)
,6,The constrained vapor bubble heat pipe experiment: Understanding the role of interfacial flow,"Kundan, Akshay",Rensselaer Polytechnic Institute,2016,해외박사(DDOD)
,7,Learning Features for Text Classification,"Zhang, Bin",University of Washington,2013,해외박사(DDOD)
,8,Three Essays on Creative Destruction,"Igami, Mitsuru","University of California, Los Angeles",2012,해외박사(DDOD)
,9,How organizational learning occurs through Academic Quality Improvement Program (AQIP) action projects:  A community college experience,"Stewart, Vicky Rae",University of Illinois at Urbana-Champaign,2006,해외박사(DDOD)
,10,"Alternative public land management: Judging the economic, regional, and institutional context of the charter forest experiment on the Valles Caldera National Preserve (New Mexico)","Little, Joseph Mikel",The University of New Mexico,2005,해외박사(DDOD)
,11,Dynamic cooperation with private information,"Skrzypacz, Andrzej",The University of Rochester,2000,해외박사(DDOD)
,12,Optimizing a Retailer's Containerized Import Supply Chain,"Davidson, Evan Taitz","University of California, Berkeley",2012,해외박사(DDOD)
,13,Personal epistemological development of Chinese engineering doctoral students in U.S. institutions: An application of Perry's theory,"Zhu, Jiabin",Purdue University,2013,해외박사(DDOD)
,14,Efficient Memory Virtualization,"Gandhi, Jayneel",The University of Wisconsin - Madison,2016,해외박사(DDOD)
,15,Moving from the margins to the mainstream:  Teaching and learning reform in local policy context,"Burch, Patricia Ellen",Stanford University,2000,해외박사(DDOD)
,16,Diversity of Shiga toxin-converting phage and CRISPR loci in Shiga toxin-producing Escherichia coli: Evolutionary and pathogenicity implications,"Yin, Shuang",The Pennsylvania State University,2014,해외박사(DDOD)
,17,Precision cosmological parameter estimation,"Fendt, William Ashton, Jr",University of Illinois at Urbana-Champaign,2009,해외박사(DDOD)
,18,Models of durable goods promotion:  Theory and empirical evidence,"Bruce, Norris Ignatius",Duke University,2001,해외박사(DDOD)
,19,Feature Extraction in Sequential Multimedia Images: with Applications in Satellite Images and On-line Videos,"Liang, Yu-Li",University of Colorado at Boulder,2012,해외박사(DDOD)
,20,Jump-diffusion models of asset prices:  Theory and empirical evidence,"Pan, Jun",Stanford University,2000,해외박사(DDOD)
,21,Learning with Scalability and Compactness,"Chen, Wenlin",Washington University in St. Louis,2016,해외박사(DDOD)
,22,"Invoking the tooth fairy twice, or how to identify cases of ad hoc hypothesis acceptance","Scott, Sarah Louise",The University of North Carolina at Chapel Hill,2007,해외박사(DDOD)
,23,Large-scale affective computing for visual multimedia,"Jou, Brendan",Columbia University,2016,해외박사(DDOD)
,24,"Taking over: Federalism, deterrence, and the search for educational accountability","Saiger, Aaron",Princeton University,2004,해외박사(DDOD)
